PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,localidad,latitud,longitud
WS2M_MIN,2020,0.03,0.1,0.11,0.03,0.06,0.09,0.13,0.04,0.01,0.0,0.0,0.04,0.0,Chapinero,4.6704,-74.04338
WS2M_MIN,2021,0.14,0.05,0.03,0.09,0.06,0.19,0.15,0.05,0.05,0.06,0.04,0.04,0.03,Chapinero,4.6704,-74.04338
WS2M_MIN,2022,0.01,0.21,0.08,0.0,0.08,0.03,0.2,0.07,0.06,0.02,0.03,0.06,0.0,Chapinero,4.6704,-74.04338
WS2M_MIN,2023,0.0,0.27,0.03,0.01,0.02,0.2,0.18,0.19,0.13,0.03,0.03,0.0,0.0,Chapinero,4.6704,-74.04338
WS2M_MIN,2024,0.19,0.12,0.04,0.11,0.07,0.19,0.08,0.1,0.05,0.04,0.03,0.1,0.03,Chapinero,4.6704,-74.04338
WS2M_RANGE,2020,1.93,2.24,2.13,2.24,2.36,2.41,2.48,2.35,2.28,2.14,1.33,1.79,2.14,Chapinero,4.6704,-74.04338
WS2M_RANGE,2021,2.22,1.8,1.73,2.19,2.12,2.38,2.72,2.76,2.71,2.18,1.89,2.01,2.23,Chapinero,4.6704,-74.04338
WS2M_RANGE,2022,1.89,2.05,2.03,2.11,2.31,2.06,2.38,2.53,2.4,1.69,1.3,1.74,2.04,Chapinero,4.6704,-74.04338
WS2M_RANGE,2023,1.79,2.19,1.8,1.88,2.29,2.55,2.5,2.66,2.68,1.92,1.96,1.95,2.18,Chapinero,4.6704,-74.04338
WS2M_RANGE,2024,2.18,2.1,2.22,2.21,2.21,2.4,2.64,2.73,2.65,2.26,1.73,1.81,2.26,Chapinero,4.6704,-74.04338
ALLSKY_SFC_PAR_TOT,2020,8.89,9.07,7.76,7.91,7.73,7.96,7.92,7.89,8.79,8.28,7.67,8.24,8.17,Chapinero,4.6704,-74.04338
ALLSKY_SFC_PAR_TOT,2021,8.59,7.81,7.16,7.97,8.43,8.12,8.05,8.04,8.66,8.46,8.54,7.99,8.15,Chapinero,4.6704,-74.04338
ALLSKY_SFC_PAR_TOT,2022,8.32,7.47,7.74,7.55,7.9,7.34,7.7,8.32,8.27,8.46,7.72,8.57,7.95,Chapinero,4.6704,-74.04338
ALLSKY_SFC_PAR_TOT,2023,7.99,8.71,7.14,7.39,8.29,8.36,8.12,8.56,8.69,8.41,7.88,7.7,8.1,Chapinero,4.6704,-74.04338
ALLSKY_SFC_PAR_TOT,2024,9.4,8.34,7.67,8.06,7.52,7.77,8.23,8.49,8.38,9.06,7.48,7.58,8.17,Chapinero,4.6704,-74.04338
ALLSKY_SFC_SW_DIFF,2020,7.59,8.0,8.35,8.64,8.87,8.75,8.57,8.11,8.64,8.64,8.51,8.02,8.39,Chapinero,4.6704,-74.04338
ALLSKY_SFC_SW_DIFF,2021,7.93,8.46,8.34,8.89,8.82,8.61,8.53,8.84,8.6,8.66,7.94,8.02,8.47,Chapinero,4.6704,-74.04338
ALLSKY_SFC_SW_DIFF,2022,8.2,8.15,8.3,8.61,8.48,8.09,8.0,8.18,8.86,8.76,8.07,7.9,8.3,Chapinero,4.6704,-74.04338
ALLSKY_SFC_SW_DIFF,2023,7.65,8.21,7.84,8.79,8.96,8.72,8.44,8.5,8.48,8.88,8.32,7.65,8.37,Chapinero,4.6704,-74.04338
ALLSKY_SFC_SW_DIFF,2024,7.26,8.06,8.48,8.52,8.04,8.53,8.52,8.18,8.56,8.86,7.86,7.31,8.18,Chapinero,4.6704,-74.04338
ALLSKY_SFC_SW_DNI,2020,15.18,13.87,7.72,7.69,6.34,7.69,7.89,8.93,11.16,9.97,8.18,12.64,9.76,Chapinero,4.6704,-74.04338
ALLSKY_SFC_SW_DNI,2021,13.75,8.99,5.83,7.22,8.36,8.49,8.86,7.9,10.36,9.85,12.14,11.07,9.4,Chapinero,4.6704,-74.04338
ALLSKY_SFC_SW_DNI,2022,11.89,7.41,7.42,6.2,7.79,6.77,8.63,10.07,8.38,8.71,8.83,13.25,8.8,Chapinero,4.6704,-74.04338
ALLSKY_SFC_SW_DNI,2023,11.41,12.21,6.18,5.49,8.12,9.37,8.88,10.61,11.42,8.82,9.26,10.55,9.34,Chapinero,4.6704,-74.04338
ALLSKY_SFC_SW_DNI,2024,17.82,11.15,7.31,7.69,7.05,7.36,9.39,10.95,9.75,11.14,8.58,11.02,9.94,Chapinero,4.6704,-74.04338
ALLSKY_SFC_SW_DWN,2020,18.92,19.35,16.7,16.62,15.69,16.38,16.31,16.61,18.56,17.48,16.16,17.48,17.18,Chapinero,4.6704,-74.04338
ALLSKY_SFC_SW_DWN,2021,18.36,16.48,14.88,16.59,17.28,16.74,16.75,16.76,17.97,17.65,17.76,16.65,16.99,Chapinero,4.6704,-74.04338
ALLSKY_SFC_SW_DWN,2022,17.56,15.44,16.11,15.56,16.06,14.98,15.89,17.43,17.06,17.23,15.83,17.96,16.44,Chapinero,4.6704,-74.04338
ALLSKY_SFC_SW_DWN,2023,16.91,18.54,14.8,15.3,17.05,17.28,16.65,18.1,18.28,17.62,16.36,16.01,16.9,Chapinero,4.6704,-74.04338
ALLSKY_SFC_SW_DWN,2024,20.35,17.62,16.33,16.77,15.32,15.89,17.08,18.0,17.85,18.86,15.36,15.82,17.11,Chapinero,4.6704,-74.04338
